"Guid","CurrencyIsoCode","Product_Utility_Key__c","SBQQ__Active__c","SBQQ__Product__c","SBQQ__UnitCost__c"
006c976c-d904-4114-b885-8b897ddf67ba,EUR,01t3h0000029BKAAA2EUR,true,8de24f43-f58a-423c-892f-da0d2e4fab2f,364.7951349551186
007435b7-a36b-4413-bb8b-fbb28c513674,AUD,01t3h0000029BIcAAMAUD,true,7b257e21-a099-4126-ae33-30089f20f5c1,1212.9795879546864
0077fc7b-539f-4e49-8068-46824eb0d2a0,USD,"#N/A",true,325a1a0a-7b4c-44e8-b0a2-db5c3eb6396b,12831.21
0086c833-5f0c-4963-bbb9-ed579e5527fe,USD,01t1I000004EucJQASUSD,true,"#N/A",0.9145220078420292
00ac96c6-72b5-4e4f-a342-c7228a4ea3b8,USD,01t1I000000JUVWQA4USD,true,e5d77835-1f91-4876-b952-77560259c9d6,34.74798065495207
00acfb7d-74f7-4b9d-86ff-49309175f0d2,GBP,01t3h0000029BJWAA2GBP,true,ff905555-a7dc-4b44-a4a4-acb2c5fe29bd,60.23449080786272
00e6c703-ec13-40fd-9770-bc0c0948941b,USD,01t1I000004NJgwQAGUSD,true,91ae1130-a8c8-4cd8-84f9-9c103750169c,151.9695393743375
00f99f08-04bd-475b-bbe6-644bbaf5c5e6,USD,01t3h0000029BIgAAMUSD,true,b605ee91-1d1c-4652-bbd8-5045e1760ea7,0.0
0198795d-c106-484d-a762-8fc59de89ce1,EUR,01t3h0000029BILAA2EUR,true,bf80f687-c78f-461f-8b50-d826e2cd5725,1430.5691566867397
0198fb65-257d-4f21-ab17-b9761fb456ae,EUR,01t1I0000039KDmQAMEUR,true,50bfbd9d-49d8-4831-9820-c9f1ec991f60,1584.5079178658145
019be02f-a060-49fa-b1a6-ba02be7640c3,GBP,01t1I000003ApVAQA0GBP,true,ae6f8353-10c7-4ade-b234-8b555e8c114e,107.98840807324942
01a21710-1c3f-4d36-b7f5-75d085076678,GBP,01t3h0000029BIzAAMGBP,true,4cd9aeb3-6935-4242-bb34-1aa54e7d9573,361.4069448471763
01e2ddeb-664e-4120-b95d-800510be7df4,USD,01t1I0000039KDPQA2USD,true,313d9020-4e2a-4d1a-a4f4-d14d53eb6150,196.27203478830535
0224a051-2921-43c8-9334-0472273b29d1,EUR,01t3h0000029BJxAAMEUR,true,9e037fc0-2c81-47f5-9712-7553c457f3df,0.0
0231fa29-8a8a-4d08-8ca1-0d8585fd0c50,EUR,01t1I000004NJh3QAGEUR,true,f336dcb8-6ca7-4b60-98aa-1cc780396602,327.4908372684692
023a96db-c8fc-4377-9b61-c0c017156fea,EUR,01t3h0000029BIlAAMEUR,true,d2737903-9d4a-4f26-bcf0-3b66680817c6,802.549296901261
02429e00-67ef-45e7-90a7-b82c0e7a3243,USD,01t1I000003B18OQASUSD,true,357c2212-bb82-4a28-9f44-20065855d85b,116.36681904444981
02acb180-7c27-4f6e-848f-0041d5575100,AUD,01t1I0000039KDuQAMAUD,true,808bf517-c2e9-41bf-b973-67c6462b8519,2803.664560177611
02c344bb-7c71-473a-9845-17eae44b8d1f,GBP,01t1I000000JUVPQA4GBP,true,ec4c432b-3db0-4630-9f4c-434057ff8378,55.59676904792332
030c356e-b49b-45fd-bf89-521cf43e2e7d,USD,"#N/A",true,266e0040-acb6-45f6-b79e-1f1b6c9c8bee,63.51
030d250a-20a5-4658-b6cc-90650be57001,EUR,"#N/A",true,"#N/A",71.57325720540774
031d1ae7-265f-423c-acb4-c7735eca2be3,EUR,01t1I000000JUVsQAOEUR,true,f159dc80-de84-4950-b87d-40829a63a79b,1539.7468721009961
031f89ba-5213-43d5-81e5-57c2e49dabf8,GBP,01t3h0000029BIuAAMGBP,true,8b3568c4-ba49-4915-a908-fb08809acc13,160.22374554891485
032e2c0c-9d91-403d-8276-40c3e4ab962a,GBP,01t3h0000029BJZAA2GBP,true,3c95ae73-331e-4e5f-824e-0cbc13487622,3011.724540393136
03d4e3ce-9671-478a-aa17-ea221442cc9e,GBP,01t1I0000039KDpQAMGBP,true,7459f179-061f-411a-a36d-9a00cd7a07bc,1334.3224571501596
03e4f094-1f10-40ae-a27f-b7ee14e92907,EUR,01t1I000000JUW0QAOEUR,true,e2031b65-9810-477f-af3c-a7d1b7ed31ea,66.02116324440894
03f487c3-01ae-4a5c-ad0f-01f068469c77,USD,01t41000003WOBZAA4USD,true,"#N/A",55.97251172652539
041c217c-49db-4a18-a22a-7b63de148f05,AUD,01t1I0000039KDfQAMAUD,true,f7729b23-a489-4e45-b06b-b74433e83bf5,480.9363053227748
04234785-afb5-445c-87d1-aeecc772a089,USD,01t1I0000039KDXQA2USD,true,3ccd2496-bfc5-49f8-82d0-5f2c35a9354d,2293.9778927629204
04a8bbbc-e30f-4ff2-9257-36b9b41c7b55,GBP,01t1I000004NJgnQAGGBP,true,c74d1b2a-3220-4d50-9c1f-0541a7eec1b0,521.4066402287613
04f52034-aed6-42c2-a7ee-6ca09407ec37,GBP,01t3h0000029BJBAA2GBP,true,e5d77835-1f91-4876-b952-77560259c9d6,30.11724540393136
05149496-37c7-4fb1-9bc3-be963c078369,AUD,01t1I000000JUVRQA4AUD,true,355bf7cb-de92-48e8-8957-54408c171e5b,96.59938622076676
052f3c00-2180-4ef4-852e-575db4cc3bdf,AUD,01t1I000004M4ZZQA0AUD,true,1f4da963-19a1-495c-ac43-2a7c723cd87b,0.0
05420071-ad6e-4ce9-a80d-3a1faf4351df,AUD,01t3h0000029BIJAA2AUD,true,0388d276-38b8-4dd5-b683-ba19f4584f14,2093.1485555732297
0550d2de-6afe-4ecc-90c1-8ea87d59377c,GBP,01t1I000000JUVNQA4GBP,true,7910da7d-8903-4881-a7bb-5627054f2322,58.176490986145026
0563f379-961f-4afb-8efe-717bfbcefcd2,AUD,01t1I000004NJguQAGAUD,true,6ce56460-94eb-45fa-94b5-3aa33275b8c4,5419.035267317152
059e5e6b-ec00-4492-876e-c69e77f28b99,EUR,01t1I0000039KDJQA2EUR,true,cd7375d9-1ca4-45e6-8f88-6a93ae91df88,1319.211838567246
05bfbed9-2f72-4eb6-ba97-696c6610da7d,AUD,01t3h0000029BISAA2AUD,true,d1152b85-e466-4c81-a7e4-ccc0049b7d69,701.2047661170319
0602af2f-a7b3-4f9b-8155-74eac1f1f749,USD,01t1I000003hDMwQAMUSD,true,"#N/A",3031.4168889840385
066234b6-ca21-4445-8f47-10d75b7baf00,EUR,01t1I0000039KDZQA2EUR,true,a474b155-91e3-464e-ac9e-e333a180fc46,417.1068990640489
06c8266c-9457-4152-92ff-044b40834a00,USD,01t1I000003B18TQASUSD,true,a879a06f-c26b-46b1-84eb-07b762b77774,174.55022856667472
073155ac-94c0-4d97-af80-732017569401,USD,01t3h0000029BJUAA2USD,true,88910820-bd72-42db-8729-f503e0e6801b,75.2931135098284
