"Guid","CurrencyIsoCode","Name","SBQQ__ConfigurationAttributes__c","SBQQ__DiscountSchedule__c","SBQQ__DynamicOptionId__c","SBQQ__Favorite__c","SBQQ__ProductOption__c","SBQQ__Product__c","SBQQ__Quantity__c","SBQQ__RequiredBy__c"
00a1ccc2-073a-476a-b879-f52dfad1eef4,USD,Endpoint Threat Protection,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":""260.0""}","#N/A",a0c3h000001qOxPAAU,703662f6-2adf-4d42-bf4f-66ce43a7e234,85cf611b-7f86-4309-9e6e-fc37743c6e7f,62f88ba0-23a3-4247-b723-7b1535e7d0bc,1.0,7cd885a3-f23a-4c83-b77f-fecbfb1580eb
00a26bbe-de69-4163-8f91-0945d613b037,USD,Threat Intelligence Exchange,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":""240.0""}","#N/A",a0c3h000001qOxSAAU,7c44b419-724d-4614-98b9-c81fd9b63ea8,a88103d9-20cc-4401-a9fa-44c1e2e241fc,8bbee29e-33cc-4269-9a59-fa2c00851cef,1.0,552f4409-f3e1-457b-9bb6-a3c91307f975
00b07bed-1339-4412-b3b3-3b10dd45fb89,USD,DLP Monitor,{},"#N/A",a0c3h000001qOxXAAU,ee791d62-19ed-483f-a96b-c2ef0fb8d94e,9273bc8d-ae66-4f90-b2cc-ec6d7b328fd2,56293cb8-5ac0-47a2-b87c-7df42df44889,1.0,f8f9ab3f-5fd7-4786-8c5d-e18322cb098c
01075df5-e31e-49e4-a44b-7e5943a25384,USD,DLP Discover,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":""500.0""}","#N/A",a0c3h000001qOxXAAU,144bc806-130a-46b4-a86b-5c22d434835c,f0a6510e-cac2-4a7c-b8e4-fc921213ae43,30723057-aadf-4e0b-b63b-9a7621b7cd6e,1.0,11af2b04-fad2-4e2d-ac15-0a938691e628
010dae67-ca3b-4658-a5d4-5158ed90f80b,USD,Maintenance,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":""500.0""}","#N/A",a0c3h000001qOxRAAU,144bc806-130a-46b4-a86b-5c22d434835c,1f0cc2a5-efa8-45f2-b466-5aaa63876909,62932448-67d1-4044-8961-5fce2eae0fbb,1.0,54bfe70d-fbda-4478-953e-969682a90ceb
01a75527-e7b5-48ec-8338-1d79114064e6,USD,Threat Intelligence Reporting Tools,"#N/A","#N/A","#N/A",ee791d62-19ed-483f-a96b-c2ef0fb8d94e,"#N/A",53951f9a-99af-4345-9453-1845d0b98c75,1.0,"#N/A"
01a9a5af-6573-4f33-8ec9-efc6d6ed5c52,USD,DLP Discover,"#N/A","#N/A","#N/A",ee791d62-19ed-483f-a96b-c2ef0fb8d94e,"#N/A",30723057-aadf-4e0b-b63b-9a7621b7cd6e,1.0,"#N/A"
01b70f79-d3a6-4e56-aca1-3b798cb74cee,USD,Policy Auditor,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":""500.0""}","#N/A",a0c3h000001qOxRAAU,144bc806-130a-46b4-a86b-5c22d434835c,3d8b8237-6e24-444c-9963-37e19b35be9c,bf80f687-c78f-461f-8b50-d826e2cd5725,1.0,7f1cb1db-7c5e-4d0e-866e-d20423ced4b1
01edccd3-9353-42ea-8e4d-89aa4401447e,USD,DLP Discover,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":""10000.0""}","#N/A",a0c3h000001qOxXAAU,8832b9f7-69e7-4c51-a56a-cc8ee8cbe3d7,f0a6510e-cac2-4a7c-b8e4-fc921213ae43,30723057-aadf-4e0b-b63b-9a7621b7cd6e,1.0,c122b5c9-0b44-4695-b0d3-0ebfb211c450
02d118e7-bf77-4568-a347-5138ef5f9a48,USD,Change Control,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":""200.0""}","#N/A",a0c3h000001qOxRAAU,f3916ffe-2d7f-440d-86d3-ad08dce2b022,fe6a5a33-3cb2-4c32-b32a-dfafd4481899,db7fc448-40c3-4228-b20c-31ab2e5c6c2e,1.0,ae3e8394-804b-4df9-9fac-d67f93d39521
033c4ccf-c7fd-487f-9a57-b6799242f399,USD,VirusScan Enterprise for Mac,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":""200.0""}",d3f4099a-7a95-415d-a8f7-23f458c0f52e,a0c3h000001qOxKAAU,65dfeb0a-f5eb-4c12-a643-8ac192863cae,3744a3ba-1183-4ff7-9bd3-5012af1374d3,629312f4-eb08-4d13-96bc-68db51aa3e3a,1200.0,78bd07aa-9435-469b-8561-9d9b05422fa2
03b3911e-ff3e-48fc-b72c-acb1db4b1169,USD,DLP Prevent,{},"#N/A",a0c3h000001qOxXAAU,ee791d62-19ed-483f-a96b-c2ef0fb8d94e,36ce5e13-58bf-491c-a5c4-785188e97976,355bf7cb-de92-48e8-8957-54408c171e5b,1.0,98b3302c-fb18-46b3-b532-720e96c01951
