"Guid","CurrencyIsoCode","Name","SBQQ__Description__c","SBQQ__LowerBound__c","SBQQ__OrderItemConsumptionSchedule__c","SBQQ__Price__c","SBQQ__PricingMethod__c","SBQQ__ProcessingOrder__c","SBQQ__UpperBound__c"
000b1684-be90-4f67-a90d-0d433c1fb847,USD,R-000003,"#N/A",21.0,af64368a-6968-4ac2-92eb-5ed3977fb4b2,120.0,PerUnit,3.0,51.0
00171002-84b6-4941-bbb5-1e4ccdd1f6b4,USD,R-000002,"#N/A",11.0,013b5a80-5299-490f-8bbc-aaf9ebc16ea0,135.0,PerUnit,2.0,21.0
006114dd-4130-4654-a700-5dfb3159ad7e,USD,R-000002,"#N/A",11.0,40473ac0-f03a-436a-865e-a2d5ad1fdd4b,135.0,PerUnit,2.0,21.0
006dae23-6666-49ed-982f-9350dc283df1,USD,R-000002,"#N/A",11.0,b97187dd-f85f-4ef8-8cb9-0706638bbdae,135.0,PerUnit,2.0,21.0
007e32a9-1c6a-4977-b8ce-d1fccf14e88a,USD,R-000004,"#N/A",51.0,fd19a3eb-f9c3-4005-99cb-74e64719ba64,105.0,PerUnit,4.0,101.0
00a71c1a-09ee-4438-9859-f85f072ed1b8,USD,R-000003,"#N/A",21.0,00fbd4bf-7e56-4100-964b-81ab6be51a7b,120.0,PerUnit,3.0,51.0
00afb7b0-d830-4d11-bd1c-d534035cc779,USD,R-000004,"#N/A",51.0,40359a0e-b7f0-4702-b68a-b27a33a19dc2,105.0,PerUnit,4.0,101.0
00b9f46f-33a0-4c6d-a89c-ac140aa95391,USD,R-000002,"#N/A",11.0,58833722-a694-40f2-af18-7cc708ca8639,135.0,PerUnit,2.0,21.0
00f8fe94-abb6-4f82-bca8-f9fc18364796,USD,R-000002,"#N/A",11.0,439ced7c-0d61-4223-a876-62e99408621e,135.0,PerUnit,2.0,21.0
0124b715-f6c6-4763-b1d5-480f7e025192,USD,R-000005,"#N/A",101.0,b97f5eaa-cc45-4d7c-90ab-004701105fd2,100.0,PerUnit,5.0,"#N/A"
015a97ff-2d6a-4104-8e80-a183fc8ab7b5,USD,R-000003,"#N/A",21.0,4f651349-5bff-4b68-b862-544325f7c19c,120.0,PerUnit,3.0,51.0
019e51a0-7d11-4c85-8b5d-718029f6a712,USD,R-000004,"#N/A",51.0,86966d65-a8d8-47db-8945-c37f60a6cafe,105.0,PerUnit,4.0,101.0
01a0aefc-0063-4715-aaf6-21a782c9b2ee,USD,R-000004,"#N/A",51.0,9a3984b9-3b85-465b-9c1f-181b4a9d7b88,105.0,PerUnit,4.0,101.0
01ba9efa-e3e5-4760-989c-9f0465cf0fbe,USD,R-000001,"#N/A",1.0,b095cd66-177c-49ff-a043-9ce82c790bc4,150.0,PerUnit,1.0,11.0
022b6933-e7b7-49fa-9866-b0b2ccdd4b54,USD,R-000004,"#N/A",51.0,82acf39f-4f47-4028-9312-26e7e14366fd,105.0,PerUnit,4.0,101.0
0284c6b6-89b8-45bf-b57c-b3c2059c1b87,USD,R-000005,"#N/A",101.0,87383ffb-d755-431f-af7b-86205cfdad58,100.0,PerUnit,5.0,"#N/A"
0296007a-507c-4f81-aa10-bcb5977e5a97,USD,R-000004,"#N/A",51.0,f60f2c0a-3f01-4f65-8c9c-c154d05f5148,105.0,PerUnit,4.0,101.0
02ac14ae-fc60-4d2f-8eed-bb6f2646723e,USD,R-000002,"#N/A",11.0,ba30cb2a-ff63-4a03-a76b-93b2a8d3dedf,135.0,PerUnit,2.0,21.0
02ca79a0-068a-465f-96b0-62e766e935d2,USD,R-000005,"#N/A",101.0,7b360e86-1999-443f-bcd0-db103bdd1992,100.0,PerUnit,5.0,"#N/A"
036d7620-fcf2-42c1-b050-65d96cba0031,USD,R-000002,"#N/A",11.0,4947240e-b2e1-46fb-8fba-0284ddb52902,135.0,PerUnit,2.0,21.0
03a0e5e0-3745-43e1-8c9d-2b8340a7d013,USD,R-000005,"#N/A",101.0,fabcdef8-b6fe-4c8d-9999-4470f6780d2a,100.0,PerUnit,5.0,"#N/A"
03cb3798-08b7-421e-9826-981501c3f532,USD,R-000001,"#N/A",1.0,276c4c38-317f-4d53-b41c-e830a6858817,150.0,PerUnit,1.0,11.0
