"Guid","CurrencyIsoCode","Name","SBQQ__AggregationScope__c","SBQQ__ConstraintField__c","SBQQ__CrossOrders__c","SBQQ__CrossProducts__c","SBQQ__Description__c","SBQQ__DiscountUnit__c","SBQQ__ExcludedPricebookIds__c","SBQQ__IncludeBundledProducts__c","SBQQ__OriginalDiscountSchedule__c","SBQQ__OverrideBehavior__c","SBQQ__PriceScale__c","SBQQ__PriceType__c","SBQQ__Pricebook__c","SBQQ__Product__c","SBQQ__QuoteLineQuantityField__c","SBQQ__QuoteLine__c","SBQQ__Quote__c","SBQQ__TermDiscount__c","SBQQ__UsePriceForAmount__c","SBQQ__UserDefined__c"
00039a79-f823-4eb5-9f29-a8ea8029d7b7,USD,Intelligence Network Monitoring Tiers,Quote,"#N/A",false,false,"#N/A",Percent,"#N/A",false,ffac4e98-b784-46b0-ae3b-69a28e0ec767,All,2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,75489686-1f1b-45a4-a290-533cc16a0e12,Quantity,"#N/A","#N/A","#N/A",false,false
00074aa5-74bd-4c68-b8f9-30616593f70f,USD,Virus Volume Tiers,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,d3f4099a-7a95-415d-a8f7-23f458c0f52e,All,2.0,Tiered,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,629312f4-eb08-4d13-96bc-68db51aa3e3a,Quantity,"#N/A","#N/A","#N/A",false,false
0007af73-0b68-47f7-9d3c-fd76f1e1a653,USD,a0W3h0000003GUP,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,b23daee8-c6e3-40ed-bf2f-d8135aaa298e,Quantity,"#N/A","#N/A","#N/A",false,false
000bb8cd-feb3-41ce-8d6c-4cd895702fd9,USD,a0W3h0000003GHV,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,9fcf60ba-4e8b-4e76-82db-812b6a6cc79b,Quantity,"#N/A","#N/A","#N/A",false,false
001354c4-8397-4fbb-8967-ba81ac8c1b6e,USD,Intelligence Network Monitoring Tiers,Quote,"#N/A",false,false,"#N/A",Percent,"#N/A",false,ffac4e98-b784-46b0-ae3b-69a28e0ec767,All,2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,75489686-1f1b-45a4-a290-533cc16a0e12,Quantity,"#N/A","#N/A","#N/A",false,false
00246687-4a6d-4112-b50e-3af824ab3471,USD,a0W3h0000003Hpe,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,88910820-bd72-42db-8729-f503e0e6801b,Quantity,"#N/A","#N/A","#N/A",false,false
00257968-b7db-4782-b539-e4fb4be10742,USD,a0W3h0000003GZJ,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,53951f9a-99af-4345-9453-1845d0b98c75,Quantity,"#N/A","#N/A","#N/A",false,false
002694e3-4db2-4ef8-955f-4e73693ab304,USD,a0W3h0000003GdV,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,7910da7d-8903-4881-a7bb-5627054f2322,Quantity,"#N/A","#N/A","#N/A",false,false
002a8564-543d-48f1-9d6e-2d48c844fc83,USD,a0W3h0000003GFU,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,88910820-bd72-42db-8729-f503e0e6801b,Quantity,"#N/A","#N/A","#N/A",false,false
002ddb99-9cfe-44a9-ad17-7f3d59a28a52,USD,a0W3h0000003Hjt,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,e39d6d45-c8af-4ba4-9d78-b9b4a6dacbc5,Quantity,"#N/A","#N/A","#N/A",false,false
002e5f0b-4b00-4482-b355-5c74c3d5cc9b,USD,a0W3h0000003Hsg,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,9fcf60ba-4e8b-4e76-82db-812b6a6cc79b,Quantity,"#N/A","#N/A","#N/A",false,false
0034e8a4-36d0-4a0a-8779-7c483c870a88,USD,a0W3h0000003GyY,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,9fcf60ba-4e8b-4e76-82db-812b6a6cc79b,Quantity,"#N/A","#N/A","#N/A",false,false
00386c49-54d3-488e-92bf-2eea889f8e0f,USD,a0W3h0000003G0o,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,228eff6e-43bf-409c-96d9-cab985a5720b,Quantity,"#N/A","#N/A","#N/A",false,false
004040a6-4633-48f6-8042-5df04ac79083,USD,Virus Volume Tiers,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,d3f4099a-7a95-415d-a8f7-23f458c0f52e,"#N/A",2.0,Tiered,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,0c124a52-73bd-4cba-8e4b-b865b06afebb,Quantity,839e180f-94fd-4fb6-a32e-0fd323b54022,4fc2f9dc-92ca-474a-b1a7-75d865f8c08f,"#N/A",false,false
00404be7-1683-4d24-8fb5-ea11383b3b3d,USD,Network Penetration Tests,Quote,"#N/A",false,false,"#N/A",Percent,"#N/A",false,ffac4e98-b784-46b0-ae3b-69a28e0ec767,All,2.0,Volume,"#N/A",75489686-1f1b-45a4-a290-533cc16a0e12,Quantity,"#N/A","#N/A","#N/A",false,false
00450e99-0b82-49a4-8857-dd02c380f49a,USD,a0W3h0000003HaB,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,ff905555-a7dc-4b44-a4a4-acb2c5fe29bd,Quantity,"#N/A","#N/A","#N/A",false,false
00458eae-72f4-4e7f-8d27-942c4142eb54,USD,Virus Volume Tiers,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,d3f4099a-7a95-415d-a8f7-23f458c0f52e,All,2.0,Tiered,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,629312f4-eb08-4d13-96bc-68db51aa3e3a,Quantity,"#N/A","#N/A","#N/A",false,false
00558473-385e-4611-b8ea-c4e5e9850d26,USD,a0W3h0000003GKR,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,8bbee29e-33cc-4269-9a59-fa2c00851cef,Quantity,"#N/A","#N/A","#N/A",false,false
005957fd-1362-48f1-a1d1-620fa426868a,USD,Network Penetration Tests,Quote,"#N/A",false,false,"#N/A",Percent,"#N/A",false,ffac4e98-b784-46b0-ae3b-69a28e0ec767,All,2.0,Tiered,"#N/A",75489686-1f1b-45a4-a290-533cc16a0e12,Quantity,"#N/A","#N/A","#N/A",false,false
005cb80c-0695-4afc-9d8b-7170e4f0db95,USD,a0W3h0000003G35,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,54e33ffe-9123-445a-bb9b-69dec395a5a5,Quantity,"#N/A","#N/A","#N/A",false,false
00639647-4ac8-4410-b775-be309c0871c3,USD,Network Penetration Tests,Quote,"#N/A",false,false,"#N/A",Percent,"#N/A",false,ffac4e98-b784-46b0-ae3b-69a28e0ec767,All,2.0,Tiered,"#N/A",75489686-1f1b-45a4-a290-533cc16a0e12,Quantity,"#N/A","#N/A","#N/A",false,false
