"Guid","CurrencyIsoCode","Name","SBQQ__DiscountAmount__c","SBQQ__DiscountPercentage__c","SBQQ__LowerBound__c","SBQQ__Number__c","SBQQ__OriginalBlockPrice__c","SBQQ__OriginalDiscountTier__c","SBQQ__PriceModel__c","SBQQ__PriceSchedule__c","SBQQ__Price__c","SBQQ__TermDiscount__c","SBQQ__UpperBound__c","SBQQ__VolumnDiscount__c"
0000e3a7-f505-4726-9a0a-fc77a2c38d09,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,265f1a50-86d0-4fac-8cfd-1397c27e70ec,1000.0,"#N/A","#N/A","#N/A"
0001ec70-cc06-4be1-a8d4-0ea30f9f65e6,USD,Tier 4,"#N/A",25.0,10000.0,4.0,"#N/A",9607b5d7-d73e-4e7e-839f-4d304027eb24,Per Unit,c93f9e78-c8ce-4c64-a765-4131262a1c4a,0.75,"#N/A","#N/A",0.25
0004cacc-171f-479a-bde0-ec82c33d608f,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,ba6a7213-d246-4501-a4be-d465989766c0,90.0,"#N/A","#N/A","#N/A"
0005356c-ba61-435e-8a59-c09a68ca846e,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,918f011e-4000-4b3f-b754-97954a182ba8,10000.0,"#N/A","#N/A","#N/A"
0005e869-2f80-4662-a624-b16e113d462d,USD,Tier 4,"#N/A",25.0,10000.0,4.0,"#N/A",9607b5d7-d73e-4e7e-839f-4d304027eb24,Per Unit,b389da84-81cc-4661-8cbd-164469563726,6.82,"#N/A","#N/A",0.25
00073564-6345-4119-bcc0-2a551911c3a6,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,c6320d58-2cd9-4565-bd06-33719be33a43,3000.0,"#N/A","#N/A","#N/A"
000bd3d1-c05b-4dca-822b-f77015c88df2,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,b596eb6d-d489-4e8f-96d1-5e28dd79bf31,50.0,"#N/A","#N/A","#N/A"
000bef5a-c243-4f78-832e-0def2a98972c,USD,501 to 1000,"#N/A",33.0,501.0,2.0,"#N/A",9177c98b-1fda-4b1a-923c-d2c17786110a,Per Unit,9681ee2e-95ac-4b63-a365-9a55ada02f22,66.33,"#N/A",1001.0,32.67
000dd920-3f21-4909-9b85-0b0c478cf424,USD,Tier 1,"#N/A",100.0,0.0,0.0,"#N/A","#N/A",Per Unit,7dd98614-b361-4a92-b0b5-a42bc8744076,0.0,"#N/A",2.0,0.15
00161afb-b5e5-4041-9344-027e7b8e594b,USD,501 to 1000,"#N/A",33.0,501.0,2.0,"#N/A",9177c98b-1fda-4b1a-923c-d2c17786110a,Per Unit,f6afcbdf-51e6-45c0-a1dd-37041d05dccf,66.33,"#N/A",1001.0,32.67
0017b38f-d948-4e23-8009-6f7a3cb9d911,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,a668f0c2-ffdb-42dc-bb2a-8cba2ed9730d,0.0,"#N/A","#N/A","#N/A"
001b3944-a9d2-40f9-bd00-d83404465f0f,USD,Tier 1,0.0,0.0,1000.0,1.0,"#N/A",bbbc9959-d9ab-4f83-acd4-2b2ec7e1d2d6,Per Unit,05db1c6d-36a3-439f-ba71-f4b24e08926a,1.0,"#N/A",2000.0,0.0
001ded8d-0768-40d1-83d9-2054a671d19b,USD,Tier 3,"#N/A",20.0,5000.0,3.0,"#N/A",9fc7010f-4aa0-436b-909f-06093a5bc68b,Per Unit,3c362f1c-c519-47f6-bfcf-2f4cd19991ce,0.8,"#N/A",10000.0,0.2
0020dc78-d71f-4405-8312-0addd72b23a2,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,392187d1-8e98-4ad2-b9e2-c4bd562eda43,11400.0,600.0,"#N/A","#N/A"
00229349-f702-4c8c-b6b2-78bdd944489d,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,446805fb-255d-4cb4-b656-16df9212a404,178.97,"#N/A","#N/A","#N/A"
00302001-4c3a-4c3f-b1b1-a9196e93570f,USD,Tier 1,"#N/A",100.0,0.0,0.0,"#N/A","#N/A",Per Unit,22bb917a-d77a-4b05-915e-ecc4a6461ba2,0.0,"#N/A",2.0,0.15
003666b3-3d27-4552-a65b-ff74768f1377,USD,1001 to 2000,"#N/A",66.0,1001.0,3.0,"#N/A",2fd0abff-ddb0-4e38-ac66-9d695ad88fb2,Per Unit,11f30020-4275-4259-9d78-b1584c36d97c,33.66,"#N/A",2001.0,65.34
00383361-dccf-4658-a126-cb9409eab3de,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,b1886db4-da6a-4fae-88fa-6d250dfc95d2,1000.0,"#N/A","#N/A","#N/A"
00397add-8af7-4f71-9fda-388144483e6e,USD,Tier 2,"#N/A",10.0,2000.0,2.0,"#N/A",ddfa15b3-994f-4600-85f0-f634ad62fa0a,Per Unit,fd2bca33-e6c0-474e-bb66-a935548785d9,0.9,"#N/A",5000.0,0.1
003ab372-9631-4c15-a428-8efb68c65267,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,d87a723d-fd2f-4ded-a1f9-cb4dff0bc1d0,-422.53,"#N/A","#N/A","#N/A"
003bf271-725d-4d89-8728-70c6c85e3446,USD,Tier 1,0.0,0.0,1000.0,1.0,"#N/A",bbbc9959-d9ab-4f83-acd4-2b2ec7e1d2d6,Per Unit,267261bc-625d-47d1-9269-f2516027c5f1,1.0,"#N/A",2000.0,0.0
003c27a1-2e0e-43a6-95f5-2e85cbd40296,USD,"Tier [9,999,999,  )","#N/A","#N/A",9999999.0,2.0,"#N/A","#N/A",Per Unit,7b46c223-a852-46cc-8b74-e89861b73c9f,0.15,"#N/A","#N/A","#N/A"
003d2306-f1f7-4f92-adb7-e6fd254fb75c,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,4b8bbe88-91f6-4473-a733-751f2aaf1efe,2400.0,"#N/A","#N/A","#N/A"
0041d599-d2ed-44ef-af5c-4ee31bd84bea,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,a39daec8-6b8d-447b-a86b-6267822d2d8a,6080.0,"#N/A","#N/A","#N/A"
0042772f-fafc-4629-bdcc-e5b77a304af6,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,cb307350-f225-4ad4-b754-5c7432c0659a,12000.0,"#N/A","#N/A","#N/A"
0043ddf9-335b-44b6-a9ef-28f063f12ce9,USD,Tier 1,0.0,100.0,0.0,0.0,"#N/A",e85b1d56-bef8-4561-ad32-0969f7bf7e78,Per Unit,bebb71d5-436f-4aa4-a833-89f23bd15950,0.0,"#N/A",2.0,0.15
00499ddc-a305-459a-bba2-9535fb64e41c,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,853812bb-67d4-47ba-86fe-40428d610d25,3000.0,"#N/A","#N/A","#N/A"
