"Guid","CurrencyIsoCode","Name","SBQQDS__EnvelopeId__c","SBQQDS__ErrorMessage__c","SBQQDS__SenderURL__c","SBQQDS__SignedDate__c","SBQQDS__VoidedReason__c","SBQQ__AttachmentId__c","SBQQ__CustomerAmount__c","SBQQ__DocumentId__c","SBQQ__ElectronicSignature__c","SBQQ__Key__c","SBQQ__ListAmount__c","SBQQ__NetAmount__c","SBQQ__OutputFormat__c","SBQQ__PaperSize__c","SBQQ__QuoteTemplate__c","SBQQ__Quote__c","SBQQ__SignatureStatus__c","SBQQ__Template__c","SBQQ__Version__c"
019bcc5d-bc9b-4d60-bc91-17c25478d1b6,USD,Q-11489-20190604-1312,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",316868.0,0153h000001A8mKAAS,false,a0l1I0000084s7DQAQ_1,362762.0,316868.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,f8804920-ed10-4d77-9160-c03e71766cad,"#N/A",Proposal,1.0
06ced6ee-2281-44b2-a68a-be1837bc06fd,USD,Q-11124-20190523-0639,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",50496.0,0153h000001A8n3AAC,false,a0l1I00000G6su8QAB_1,50897.0,50496.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,58fc3397-80f6-4eaa-bca8-83644fa3c8c4,"#N/A",Proposal,1.0
07a83e0b-2ce0-4d05-afaa-6fb787c0b881,USD,Q-08599-20190313-1546,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",70312.26,0153h000001A8lkAAC,false,a0l1I00000A2QZNQA3_1,94697.0,70312.26,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,497ff34d-ad55-45f8-8572-e540377dc770,"#N/A",Proposal,1.0
095be1f9-0c82-4784-b396-b27e1af94871,USD,Q-10715-20190513-1523,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",330000.0,0153h000001A8miAAC,false,a0l1I00000CRVmPQAX_2,357080.0,330000.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,9a17dbc4-8555-4c27-a48e-1c3c6a6d4cea,"#N/A",Proposal,2.0
0a5be113-8a53-445e-acb1-af50bba1d4db,USD,Q-10667-20190516-1000,"#N/A",No recipients were found in the request. Contact your Salesforce Administrator for assistance.,"#N/A","#N/A","#N/A","#N/A",828.0,0153h000001A8mqAAC,true,a0l1I00000CRNliQAH_1,-1080.0,828.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,03514b1d-d692-43f7-a273-53c20ebbc36b,"#N/A",Proposal,1.0
0a91eea0-dfe9-49da-978c-f986b0867d24,EUR,Q-10571-20190509-0506,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",449999.9999999999999999999999999999999994,0153h000001A8mcAAC,false,a0l1I00000CRFdKQAX_1,1515250.0,449999.9999999999999999999999999999999994,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,da95ec66-b202-4f3e-befb-dd64a16ff1f8,"#N/A",Proposal,1.0
0b820781-709f-4b08-961b-75253e456ff8,USD,Q-10936-20190520-0804,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",416771.0,0153h000001A8n1AAC,false,a0l1I00000CS0obQAD_1,949250.0,416771.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,ec7e19bd-12e1-4e03-9c4f-44555af195aa,"#N/A",Proposal,1.0
0ba1f3a1-46ee-4e52-a6f2-8b882a8ac9a4,USD,Q-07907-20190304-1230,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2797610.32,0153h000001A8laAAC,false,a0l1I00000A1kiZQAR_1,1.2712001E7,2797610.32,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,ce6feac0-00fc-4c8b-bf35-f1aee9290c49,"#N/A",Proposal,1.0
0ba8e211-fb33-48ca-9d01-e355be7c8dac,USD,Q-08770-20190317-1950,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",97205.46,0153h000001A8lsAAC,false,a0l1I00000A2iICQAZ_1,113201.0,97205.46,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,ea7bb6c4-8887-4c33-b306-9525a12228c2,"#N/A",Proposal,1.0
0bb766ac-1c16-483c-add3-181c7918ea09,USD,Q-10418-20190507-0329,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",86411.32,0153h000001A8mTAAS,false,a0l1I00000CQz90QAD_1,101993.99,86411.32,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,1ca765d0-a0f9-4327-8e15-294a3d6f09f3,"#N/A",Proposal,1.0
0bf280e4-fa7a-42aa-8757-c0fe798795a6,USD,Q-10716-20190513-1656,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",43119.85,0153h000001A8mmAAC,false,a0l1I00000CRXIvQAP_1,53390.0,43119.85,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,2b7aefbd-aa32-4b88-a97e-8d00891cd437,"#N/A",Proposal,1.0
0e4f06e7-eddd-480a-aa04-ebf55ada8c2d,USD,Q-08482-20190308-1724,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",88914.91,0153h000001A8lgAAC,false,a0l1I00000A2BeuQAF_1,100301.0,88914.91,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,c428e89e-cb46-4604-a700-2f9936c390e4,"#N/A",Proposal,1.0
0f08aa73-7230-4769-a761-802842157204,USD,Q-10715-20190513-1523,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",330000.0,0153h000001A8mjAAC,false,a0l1I00000CRVmPQAX_3,357080.0,330000.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,9a17dbc4-8555-4c27-a48e-1c3c6a6d4cea,"#N/A",Proposal,3.0
0f85a684-55b4-49e2-b4c7-a1c4ac24d8e4,USD,Q-11532-20190606-1547,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",142751.92,0153h000001A8mOAAS,false,a0l1I0000085CZNQA2_1,146691.0,142751.92,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,326deba7-a4e3-4c9e-bad8-58290c6ffa25,"#N/A",Proposal,1.0
0ff8e8e6-a955-4eff-a62c-9b211876d08e,EUR,Q-10089-20190424-1841,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",170000.0,0153h000001A8lPAAS,false,a0l1I00000CQCXkQAP_1,206530.0,170000.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,12c33bfb-eaee-4a8a-bf5f-3d18eb459f51,"#N/A",Proposal,1.0
100f407d-1e88-4eea-b3a2-b527a3c5145b,USD,Q-10983-20190521-0520,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",626979.55,0153h000001A8n2AAC,false,a0l1I00000G6g8oQAB_1,1401005.0,626979.55,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,8d81b3a4-0c6d-43d6-aaa2-3c36c90f5c1c,"#N/A",Proposal,1.0
143304ba-af2e-4215-9221-419db59ca8d2,USD,Q-08854-20190318-2132,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",76396.0,0153h000001A8lxAAC,false,a0l1I00000A2nRzQAJ_1,88397.0,76396.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,3ed3c29f-e9a7-4573-a515-8f6e8b2c6b7a,"#N/A",Proposal,1.0
1443baea-4099-4564-9ce6-ab339c018515,USD,Q-07772-20190301-0334,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",25847.5,0153h000001A8lWAAS,false,a0l1I00000A1gPeQAJ_2,45325.0,25847.5,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,c0629566-2492-4509-96de-61020ecc7a3c,"#N/A",Proposal,2.0
15a4a398-7add-46db-a516-31b27df7d829,EUR,Q-10582-20190509-0826,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",450000.0000000000000000000000000000000006,0153h000001A8meAAC,false,a0l1I00000CRHQiQAP_2,1535200.0,450000.0000000000000000000000000000000006,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,eb7e83fe-b63e-423b-a03d-588abb896f21,"#N/A",Proposal,2.0
161040d7-663f-4c90-86aa-0bfe84540d1f,USD,Q-10422-20190507-0713,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",119693.46,0153h000001A8mWAAS,false,a0l1I00000CR0FnQAL_2,139420.0,119693.46,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,f178c4ed-d308-4865-ae73-00233c64933a,"#N/A",Proposal,2.0
1688f111-9b0c-4b88-ab6f-3375f510d88e,USD,Q-08743-20190317-0832,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",94413.82,0153h000001A8lmAAC,false,a0l1I00000A2iG6QAJ_1,113201.0,94413.82,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,4f584b2d-38c1-4bbc-8aaa-a8c02063d9b8,"#N/A",Proposal,1.0
1907ab97-babf-4b4b-9b9f-5c5f673c546b,USD,Q-08772-20190317-2005,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",74796.0,0153h000001A8ltAAC,false,a0l1I00000A2iIMQAZ_1,88397.0,74796.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,4c6a345b-534f-42f8-bf16-5ed7fc6854a6,"#N/A",Proposal,1.0
1989bf3e-27d9-401d-85ce-f6137feba74e,USD,Q-10928-20190520-0746,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",24958.0,0153h000001A8n0AAC,false,a0l1I00000CS0iEQAT_1,24958.0,24958.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,54d59835-aa96-4e48-ad21-e724f0cc9d5e,"#N/A",Proposal,1.0
1c8c12f1-99d1-43eb-9b89-52b1056bf11d,USD,Q-11535-20190606-1605,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2586.0,0153h000001A8mPAAS,false,a0l1I0000085CqwQAE_1,3540.0,2586.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,41892ed2-1a1c-4f3b-8dd3-1c4d5746cdb0,"#N/A",Proposal,1.0
23cca53f-5156-4d01-be55-795ac149e452,USD,Q-11157-20190523-1247,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",82357.81,0153h000001A8n4AAC,false,a0l1I00000G6vZxQAJ_1,109840.0,82357.81,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,1dc7637a-add8-47fa-8891-6c7babb0f1ea,"#N/A",Proposal,1.0
26c96d2c-7d7a-4859-b118-00c5ce1abc6c,USD,Q-08539-20190311-1625,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",730936.37,0153h000001A8ljAAC,false,a0l1I00000A2GDfQAN_1,2735801.0,730936.37,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,5622336a-b568-4ba1-8eff-9273d0f24e7e,"#N/A",Proposal,1.0
28d9c1f5-43e2-4a57-bcc9-2446ebc37f47,USD,Q-10747-20190515-0840,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",42896.0,0153h000001A8mpAAC,false,a0l1I00000CRhYQQA1_1,42896.0,42896.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,799c42f8-b8c7-4bf2-8efb-6d2fe9cf5d6a,"#N/A",Proposal,1.0
2a1220f6-be5f-4e7a-b4f2-fdc5820b0aa9,USD,Q-08986-20190322-1333,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",104585.46,0153h000001A8m2AAC,false,a0l1I00000A3BXnQAN_1,123401.0,104585.46,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,c84c9e87-2dc6-4bcf-95ca-410f08fd50cc,"#N/A",Proposal,1.0
3004f309-b31e-4a33-a7c7-6307afbb054e,USD,Q-10715-20190513-1520,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",330000.0,0153h000001A8mhAAC,false,a0l1I00000CRVmPQAX_1,357080.0,330000.0,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,9a17dbc4-8555-4c27-a48e-1c3c6a6d4cea,"#N/A",Proposal,1.0
30dcc19a-d6ad-46ae-87ee-0cb391f492a8,USD,Q-07302-20190220-0919,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",292278.53,0153h000001A8lQAAS,false,a0l1I0000099arYQAQ_1,362691.0,292278.53,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,58607b1c-bc68-44b7-9d45-25f6d981e3cc,"#N/A",Proposal,1.0
319c3823-0988-40e4-ab29-1db119b28050,USD,Q-07822-20190301-1121,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",77227.2,0153h000001A8lXAAS,false,a0l1I00000A1iZCQAZ_1,86897.0,77227.2,PDF,Default,23b2925f-6250-4b29-ad15-bb56898ba781,7f59852b-5a8a-459e-a088-26b8adb0443b,"#N/A",Proposal,1.0
