"Guid","CurrencyIsoCode","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
00113533-fde1-410d-a6a0-f2f2ac4cdbbb,USD,false,"#N/A",7073h00000bxp8u,Completed,a0l1I00000CPq6gQAD::QuoteCalculator,"#N/A","#N/A"
0013ad8b-4863-4256-b80c-b1619c3f467a,USD,false,"#N/A",7073h00000bxoA9,"#N/A",a0l1I0000098ib5QAA::QuoteCalculator,"#N/A","#N/A"
002e181b-2304-436b-b93f-099609e88f44,USD,false,"#N/A",7073h00000bxpcm,"#N/A",a0l1I00000G710kQAB::QuoteCalculator,"#N/A","#N/A"
0030a1a2-f7b7-4dde-ad80-ac354469989a,USD,false,"#N/A",7073h00000bxnVV,"#N/A",a0l1I00000A1nSjQAJ::QuoteDocumentService,"#N/A","#N/A"
00320f42-7c6a-4ef8-b1cb-b098aeb98ab3,USD,false,"#N/A",7073h00000bxoDx,Completed,a0l1I0000099HI4QAM::QuoteCalculator,"#N/A","#N/A"
003371de-9625-4446-9907-3cc09415f440,USD,false,"#N/A",7073h00000bxnt7,"#N/A",a0l1I000005VEJvQAO::QuoteCalculator,"#N/A","#N/A"
00341f72-f373-46f1-9755-71eaedaeadf2,USD,false,"#N/A",7073h00000bxp3I,"#N/A",0061I00000HTIbwQAH::QuoteCalculator,"#N/A","#N/A"
003494f2-f16a-44c5-a5dc-10fe48ce0891,USD,false,"#N/A",7073h00000bxo0I,"#N/A",a0l1I000003ds7gQAA::QuoteCalculator,"#N/A","#N/A"
0036d4f3-dea5-4764-b96e-a75dc621a11a,USD,false,"#N/A",7073h00000bxo2m,"#N/A",a0l1I000003e0b1QAA::QuoteCalculator,"#N/A","#N/A"
003e06db-8924-49eb-a542-861411864e35,USD,false,"#N/A",7073h00000bxo66,"#N/A",8011I0000024GZZQA2::OrderCalculator,"#N/A","#N/A"
00405bb1-bb52-4507-9bda-9730fd2b980c,USD,false,"#N/A",7073h00000bxnQ6,"#N/A",a0l1I0000084PoIQAU::QuoteDocumentService,"#N/A","#N/A"
0048a955-ab1f-424d-9c1f-aed54ad3443d,USD,false,"#N/A",7073h00000bxoI1,"#N/A",0061I00000GOYX9QAP::QuoteCalculator,"#N/A","#N/A"
