"Guid","CurrencyIsoCode","Linux__c","Mac__c","Product_Line__c","SBQQ__AdditionalDiscountAmount__c","SBQQ__BillingFrequency__c","SBQQ__BillingType__c","SBQQ__Bundle__c","SBQQ__BundledQuantity__c","SBQQ__Bundled__c","SBQQ__ChargeType__c","SBQQ__ComponentDiscountedByPackage__c","SBQQ__ComponentSubscriptionScope__c","SBQQ__CustomerPrice__c","SBQQ__Dimension__c","SBQQ__DiscountScheduleType__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DistributorDiscount__c","SBQQ__DynamicOptionId__c","SBQQ__HasConsumptionSchedule__c","SBQQ__ListPrice__c","SBQQ__MarkupAmount__c","SBQQ__MarkupRate__c","SBQQ__NetPrice__c","SBQQ__Number__c","SBQQ__OptionDiscountAmount__c","SBQQ__OptionDiscount__c","SBQQ__OptionLevel__c","SBQQ__OptionType__c","SBQQ__OriginalQuoteLine__c","SBQQ__OriginalUnitCost__c","SBQQ__PackageProductCode__c","SBQQ__PackageProductDescription__c","SBQQ__PartnerDiscount__c","SBQQ__PricingMethod__c","SBQQ__ProductOption__c","SBQQ__ProductSubscriptionType__c","SBQQ__Product__c","SBQQ__ProrateMultiplier__c","SBQQ__Quantity__c","SBQQ__QuoteLine__c","SBQQ__RegularPrice__c","SBQQ__RenewalPrice__c","SBQQ__RenewalQuantity__c","SBQQ__RenewalUpliftRate__c","SBQQ__RenewedDate__c","SBQQ__RequiredById__c","SBQQ__RequiredByProduct__c","SBQQ__RevisedSubscription__c","SBQQ__RootId__c","SBQQ__SegmentEndDate__c","SBQQ__SegmentIndex__c","SBQQ__SegmentKey__c","SBQQ__SegmentLabel__c","SBQQ__SegmentQuantity__c","SBQQ__SegmentStartDate__c","SBQQ__SegmentUpliftAmount__c","SBQQ__SegmentUplift__c","SBQQ__SpecialPrice__c","SBQQ__SubscriptionEndDate__c","SBQQ__SubscriptionStartDate__c","SBQQ__SubscriptionType__c","SBQQ__TermDiscountSchedule__c","SBQQ__TerminatedDate__c","SBQQ__UnitCost__c","Storage__c"
00034b4d-94d1-41b9-b22d-41c408e5e668,USD,false,false,"#N/A",6277.52,Monthly,Arrears,false,"#N/A",false,Recurring,false,"#N/A",16618.48,"#N/A",Slab,d3f4099a-7a95-415d-a8f7-23f458c0f52e,"#N/A","#N/A",a0c3h000001qOxKAAU,false,95.4,"#N/A","#N/A",16618.48,9.0,"#N/A","#N/A",1.0,Related Product,5171104c-6a7f-4a8d-80f9-96a8eb104d63,5.524928924137379,"#N/A","#N/A","#N/A",List,3744a3ba-1183-4ff7-9bd3-5012af1374d3,Renewable,629312f4-eb08-4d13-96bc-68db51aa3e3a,12.0,240.0,5171104c-6a7f-4a8d-80f9-96a8eb104d63,22896.0,1384.87,240.0,3.0,"#N/A",a0t3h0000013m1zAAA,5a78fd1c-bd50-4427-b949-0cf9f4ae2810,"#N/A",a0t3h0000013m1zAAA,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",7.95,"#N/A",2022-02-17,Renewable,"#N/A","#N/A",5.524928924137379,false
001b8ffc-117b-4f3a-809f-755ddc2ade10,USD,false,true,"#N/A","#N/A",Annual,Advance,true,"#N/A",false,Recurring,false,"#N/A",0.0,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,0.0,"#N/A","#N/A",0.0,1.0,"#N/A","#N/A","#N/A","#N/A",786468c1-dcd2-4584-9062-168df864fd6b,0.0,"#N/A","#N/A","#N/A",List,"#N/A",Renewable,5a78fd1c-bd50-4427-b949-0cf9f4ae2810,12.0,1.0,786468c1-dcd2-4584-9062-168df864fd6b,0.0,"#N/A",1.0,3.0,"#N/A","#N/A","#N/A","#N/A",a0t3h0000013meuAAA,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,"#N/A",2021-12-07,Renewable,"#N/A","#N/A",0.0,false
001e6189-4975-48f1-b75f-501b9ed5e8d2,USD,false,false,"#N/A","#N/A",Monthly,"#N/A",false,"#N/A",false,Usage,false,"#N/A",0.0,"#N/A",Range,ffac4e98-b784-46b0-ae3b-69a28e0ec767,"#N/A","#N/A",a0c3h000001qOxSAAU,false,0.75,"#N/A","#N/A",0.0,4.0,"#N/A","#N/A",1.0,Related Product,b5dc9abf-8e24-42fa-ac26-fdf7b3dc0129,0.6164942755942976,"#N/A","#N/A","#N/A",List,3335f6cd-0601-4f21-8f85-1baee6b10bc7,Renewable,75489686-1f1b-45a4-a290-533cc16a0e12,0.75,1.0,b5dc9abf-8e24-42fa-ac26-fdf7b3dc0129,0.0,0.0,1.0,"#N/A","#N/A",a0t3h0000013m2dAAA,5a78fd1c-bd50-4427-b949-0cf9f4ae2810,"#N/A",a0t3h0000013m2dAAA,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",1.0,"#N/A",2021-09-19,Renewable,"#N/A","#N/A",0.6164942755942976,false
0023d12d-d31c-41e7-b35c-2cfaf29600c1,EUR,false,false,"#N/A","#N/A",Monthly,Arrears,true,"#N/A",false,Recurring,false,"#N/A",3420.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxQAAU,false,3420.0,"#N/A","#N/A",3420.0,11.0,"#N/A","#N/A",1.0,Related Product,8e2f5371-a210-4283-b758-a670d10da03d,69.08458304604723,"#N/A","#N/A","#N/A",List,f0f9ebd7-f61b-497e-999a-c01af69a5461,Renewable,7910da7d-8903-4881-a7bb-5627054f2322,36.0,1.0,8e2f5371-a210-4283-b758-a670d10da03d,3420.0,95.0,1.0,3.0,"#N/A",a0t3h0000013m2LAAQ,5a78fd1c-bd50-4427-b949-0cf9f4ae2810,"#N/A",a0t3h0000013m2LAAQ,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",95.0,"#N/A",2022-01-17,Renewable,"#N/A","#N/A",69.08458304604723,false
002d4ea9-09d8-4514-b94a-f3513a09f64d,USD,false,false,"#N/A","#N/A",Monthly,Advance,false,"#N/A",false,Recurring,false,"#N/A",10800.0,"#N/A","#N/A","#N/A",10.0,"#N/A",a0c3h000001qOxSAAU,false,12000.0,"#N/A","#N/A",10800.0,2.0,"#N/A","#N/A",1.0,Related Product,a7b96c4b-9c3e-4fad-a92a-8aae75dec455,8754.576915770134,"#N/A","#N/A","#N/A",List,6265bc6f-9f5b-4245-b1c0-d5815cfa03be,"#N/A",54e33ffe-9123-445a-bb9b-69dec395a5a5,1.0,1.0,a7b96c4b-9c3e-4fad-a92a-8aae75dec455,12000.0,"#N/A",1.0,"#N/A","#N/A",a0t3h0000013mFlAAI,5a78fd1c-bd50-4427-b949-0cf9f4ae2810,"#N/A",a0t3h0000013mFlAAI,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",12000.0,"#N/A",2021-07-20,"#N/A",f27271fb-5761-46f2-a764-0a554d1424f3,"#N/A",8754.576915770134,false
00481e8d-7931-4026-9ac3-399bd061fc84,USD,false,false,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",false,One-Time,false,"#N/A",3000.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxUAAU,false,3000.0,"#N/A","#N/A",3000.0,9.0,"#N/A","#N/A",1.0,Related Product,46cdc63c-4e29-423c-8324-4c5f61426d4d,2209.857588070502,"#N/A","#N/A","#N/A",List,97f63f9d-d298-4997-8e2d-29fe0d886eab,"#N/A",b23daee8-c6e3-40ed-bf2f-d8135aaa298e,1.0,1.0,46cdc63c-4e29-423c-8324-4c5f61426d4d,3000.0,"#N/A",1.0,"#N/A","#N/A",a0t3h0000013mEUAAY,5a78fd1c-bd50-4427-b949-0cf9f4ae2810,"#N/A",a0t3h0000013mEUAAY,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3000.0,"#N/A",2021-05-20,"#N/A","#N/A","#N/A",2209.857588070502,false
004d26ab-3fab-49b8-8de9-540df7c9807b,USD,false,false,"#N/A","#N/A",Quarterly,Arrears,false,"#N/A",false,Recurring,false,"#N/A",126.0,"#N/A","#N/A","#N/A",30.0,"#N/A",a0c3h000001qOxPAAU,false,180.0,"#N/A","#N/A",126.0,6.0,"#N/A","#N/A",1.0,Related Product,5136d91a-d890-49f7-a9c4-ba8973644fc6,10.424394196485622,"#N/A","#N/A","#N/A",List,1aaa7f81-2e95-4560-be5f-8b394acf0a9b,Renewable,9fcf60ba-4e8b-4e76-82db-812b6a6cc79b,12.0,200.0,5136d91a-d890-49f7-a9c4-ba8973644fc6,180.0,10.5,200.0,3.0,"#N/A",a0t3h0000013mbtAAA,5a78fd1c-bd50-4427-b949-0cf9f4ae2810,"#N/A",a0t3h0000013mbtAAA,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",15.0,"#N/A",2021-12-18,Renewable,"#N/A","#N/A",10.424394196485622,false
004ddec6-08a0-4700-bdf5-3064284d78c8,USD,false,false,"#N/A","#N/A",Monthly,"#N/A",false,"#N/A",false,Usage,false,"#N/A",0.0,"#N/A",Range,ffac4e98-b784-46b0-ae3b-69a28e0ec767,"#N/A","#N/A",a0c3h000001qOxSAAU,false,0.15,"#N/A","#N/A",0.0,8.0,"#N/A","#N/A",1.0,Related Product,08a513d4-de5f-4501-ae36-37d12701231a,0.09737755233314076,"#N/A","#N/A","#N/A",List,3335f6cd-0601-4f21-8f85-1baee6b10bc7,"#N/A",75489686-1f1b-45a4-a290-533cc16a0e12,1.0,1.0,08a513d4-de5f-4501-ae36-37d12701231a,0.0,"#N/A",1.0,"#N/A","#N/A",a0t3h0000013m1ZAAQ,5a78fd1c-bd50-4427-b949-0cf9f4ae2810,"#N/A",a0t3h0000013m1ZAAQ,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.15,"#N/A",2020-11-17,"#N/A","#N/A","#N/A",0.09737755233314076,false
004fa664-f6a5-4ce0-93b8-596bb14322ea,GBP,false,true,"#N/A","#N/A",Monthly,Arrears,false,"#N/A",false,Recurring,false,"#N/A",0.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxSAAU,true,0.0,"#N/A","#N/A",0.0,5.0,"#N/A","#N/A",1.0,Related Product,002fb251-0828-4ae8-81d3-c402ef524b4b,0.6206230349037323,"#N/A","#N/A","#N/A",List,39ca8153-d655-47db-b540-35ab1a8ec497,Renewable,1f4da963-19a1-495c-ac43-2a7c723cd87b,12.0,1.0,002fb251-0828-4ae8-81d3-c402ef524b4b,0.0,"#N/A",1.0,3.0,"#N/A",a0t3h0000013m1tAAA,5a78fd1c-bd50-4427-b949-0cf9f4ae2810,"#N/A",a0t3h0000013m1tAAA,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,"#N/A",2022-02-17,Renewable,"#N/A","#N/A",0.6206230349037323,false
0063b357-cfe8-4406-935a-62cdb9f8ce8d,USD,false,false,"#N/A","#N/A",Monthly,Arrears,false,1.0,false,Recurring,false,"#N/A",1200.0,"#N/A","#N/A","#N/A","#N/A","#N/A",a0c3h000001qOxXAAU,false,1200.0,"#N/A","#N/A",1200.0,13.0,"#N/A","#N/A",2.0,Component,d0b987b7-85f8-48b9-a588-f83361e70166,77.57787936296654,"#N/A","#N/A","#N/A",List,f0a6510e-cac2-4a7c-b8e4-fc921213ae43,Renewable,30723057-aadf-4e0b-b63b-9a7621b7cd6e,12.0,1.0,d0b987b7-85f8-48b9-a588-f83361e70166,1200.0,100.0,1.0,3.0,"#N/A",a0t3h0000013mfyAAA,7910da7d-8903-4881-a7bb-5627054f2322,"#N/A",a0t3h0000013m2GAAQ,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",100.0,"#N/A",2021-12-18,Renewable,"#N/A","#N/A",77.57787936296654,false
